blue,green,red,ndwi,brightness,label,source_file
0.10688104,0.040878966,0.060778636,-0.19575,0.06951288,0,GSL_2009_04.tif
0.080920614,0.012078134,0.043478087,-0.56518215,0.04549228,0,GSL_2009_04.tif
0.040357444,0.0,0.009016134,-0.9998891,0.01645786,0,GSL_2009_04.tif
0.30860984,0.19772051,0.23084956,-0.077301174,0.24572664,0,GSL_2016_03.tif
0.2457059,0.14613749,0.20378698,-0.16474791,0.19854347,0,GSL_2016_03.tif
0.2318802,0.13364998,0.18784103,-0.16856112,0.18445706,0,GSL_2016_03.tif
0.19872247,0.10303957,0.17244178,-0.2519298,0.15806794,0,GSL_2016_03.tif
0.24238414,0.13521892,0.19944361,-0.19190824,0.19234888,0,GSL_2016_03.tif
0.27973148,0.1734179,0.21973296,-0.1178045,0.22429411,0,GSL_2016_03.tif
0.2240995,0.13115248,0.18778028,-0.17755346,0.18101077,0,GSL_2016_03.tif
0.21332623,0.12119449,0.17721039,-0.18771714,0.17057703,0,GSL_2016_03.tif
0.2309525,0.13172883,0.18954194,-0.17995079,0.18407442,0,GSL_2016_03.tif
0.24028933,0.13896517,0.19500911,-0.16780862,0.19142121,0,GSL_2016_03.tif
0.2539654,0.1576324,0.20770514,-0.13705847,0.20643432,0,GSL_2016_03.tif
0.20883738,0.121226504,0.18614012,-0.2111921,0.172068,0,GSL_2016_03.tif
0.21625896,0.119689584,0.18498594,-0.21431369,0.17364483,0,GSL_2016_03.tif
0.21338609,0.10944342,0.17800009,-0.23850401,0.16694319,0,GSL_2016_03.tif
0.21925153,0.12468459,0.19233628,-0.21339755,0.17875747,0,GSL_2016_03.tif
0.25228956,0.15174085,0.20284542,-0.1441241,0.20229195,0,GSL_2016_03.tif
0.26809037,0.16169885,0.20618647,-0.12092764,0.2119919,0,GSL_2016_03.tif
0.27634987,0.1684229,0.21068172,-0.1114698,0.21848483,0,GSL_2016_03.tif
0.25623977,0.1617949,0.20697619,-0.12251819,0.20833695,0,GSL_2016_03.tif
0.23532166,0.13243325,0.19115171,-0.18146168,0.1863022,0,GSL_2016_03.tif
